Date,HomeTeam,AwayTeam
[],[],[]
[],Aston Villa,[]
19:00,Aston Villa,[]
19:00,Aston Villa,Everton
19:00,Aston Villa,Everton
19:00,Manchester United,Everton
21:15,Manchester United,Everton
21:15,Manchester United,Liverpool
21:15,Manchester United,Liverpool
21:15,Newcastle United,Liverpool
21:00,Newcastle United,Liverpool
21:00,Newcastle United,Manchester City
21:00,Newcastle United,Manchester City
21:00,Burnley,Manchester City
13:30,Burnley,Manchester City
13:30,Burnley,Leeds United
13:30,Burnley,Leeds United
13:30,Southampton,Leeds United
16:00,Southampton,Leeds United
16:00,Southampton,Fulham
16:00,Southampton,Fulham
16:00,Brighton & Hove Albion,Fulham
21:00,Brighton & Hove Albion,Fulham
21:00,Brighton & Hove Albion,West Ham United
21:00,Brighton & Hove Albion,West Ham United
21:00,Crystal Palace,West Ham United
13:00,Crystal Palace,West Ham United
13:00,Crystal Palace,Aston Villa
13:00,Crystal Palace,Aston Villa
13:00,Tottenham Hotspur,Aston Villa
15:05,Tottenham Hotspur,Aston Villa
15:05,Tottenham Hotspur,Wolverhampton Wanderers
15:05,Tottenham Hotspur,Wolverhampton Wanderers
15:05,West Bromwich Albion,Wolverhampton Wanderers
17:30,West Bromwich Albion,Wolverhampton Wanderers
17:30,West Bromwich Albion,Liverpool
17:30,West Bromwich Albion,Liverpool
17:30,Everton,Liverpool
20:00,Everton,Liverpool
20:00,Everton,Sheffield United
